event_ID,location,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees)params_std_deviation,velocity(m/s),number_of_stationsdirection_snr(degrees),direction_sharpness(degrees),direction_snr(degrees),duration,number_of_stations,params_std_deviation
['3179368'],"['46.857175605795106,-121.77968991796128']",[5000],"[UTCDateTime(2021, 12, 22, 4, 47, 34, 75000)]",[177.38629911205493],,[45.82752211073115],,[312.82732469195935],[175.93525443141039],[25.149999999999988],[8],"['0.291593684,1.900166415,0.228607464']"
['3179093'],"['46.23409961687465,-122.19195844618268']",[0],"[UTCDateTime(2021, 12, 19, 7, 31, 4, 175000)]",[48.25362978918694],,[225.0519471637792],,[48.38072170989427],[48.45650830043856],[8.85],[5],"['0.248005801,0.053385606,0.137442105']"
['3179088'],"['46.21610685526774,-122.1919880745062']",[0],"[UTCDateTime(2021, 12, 19, 7, 26, 45)]",[66.54259258598428],,[68.56370977481895],,[68.95326766087518],[75.13725478468851],[22.407142857142862],[7],"['0.259997188,0.541350405,0.147128323']"
['3178938'],"['46.839148845698865,-121.75352026547156']",[3000],"[UTCDateTime(2021, 12, 17, 16, 47, 7)]",[-18.129019354363916],,[69.56120756429843],,[315.7720889157318],[283.524922050052],[18.233333333333334],[6],"['0.392929716,1.321903184,0.241166833']"
['3177563'],"['46.20711999176598,-122.20496064015421']",[0],"[UTCDateTime(2021, 12, 7, 9, 42, 15, 775000)]",[88.44528505953494],,[40.92267127624478],,[89.13478917883235],[56.286345140141954],[17.38125000000001],[8],"['0.212513848,0.984484004,0.151948908']"
['3177488'],"['46.21609584681671,-122.17902820341816']",[0],"[UTCDateTime(2021, 12, 6, 23, 47, 10)]",[349.47469908582445],,[400.66246862110677],,[349.47469908582445],[349.47469908582445],[24.149999999999988],[5],"['inf,inf,inf']"
['3177373'],"['46.198123573380435,-122.20497332446621']",[0],"[UTCDateTime(2021, 12, 6, 19, 5, 48, 475000)]",[115.02771632248471],,[219.68432980546064],,[115.59351195144139],[114.27795505410099],[12.075000000000008],[6],"['0.301826039,0.182053928,0.146404772']"
['3177368'],"['46.22509223239883,-122.17901127657147']",[1000],"[UTCDateTime(2021, 12, 6, 15, 7, 25, 775000)]",[55.27335383287599],,[61.08203874289551],,[55.11660005725864],[66.61199827691904],[4.640909090909094],[11],"['0.321089571,0.721316098,0.229481127']"
['3177363'],"['46.22509223239883,-122.17901127657147']",[3000],"[UTCDateTime(2021, 12, 6, 12, 54, 10, 475000)]",[116.10095107968628],,[82.31747413103321],,[86.30577452524608],[-199.62491201902495],[9.331818181818182],[11],"['0.307797445,1.057050767,0.285620779']"
['3177603'],"['48.80098571189951,-121.81777078840065']",[7000],"[UTCDateTime(2021, 12, 5, 11, 22, 35)]",[185.51053952538348],,[35.67105374468633],,[188.09416336429283],[206.7749412939422],[6.349999999999987],[4],"['0.203842796,1.195514808,0.112027043']"
['3176933'],"['48.80098571189951,-121.81777078840065']",[8000],"[UTCDateTime(2021, 11, 29, 21, 28, 22)]",[186.4004189677682],,[36.97500169624469],,[188.85515277808517],[189.997709894926],[2.8500000000000085],[4],"['0.055688633,0.308801679,0.030740395']"
['3176813'],"['43.71358640259451,-121.18387933427778']",[6000],"[UTCDateTime(2021, 11, 29, 16, 11, 53, 400000)]",[184.34607684538565],,[42.23289777921458],,[174.89953950034007],[187.84217055451188],[7.162500000000001],[4],"['0.140695814,0.980237096,0.099418053']"
['3176848'],"['46.22509223239883,-122.17901127657147']",[2000],"[UTCDateTime(2021, 11, 25, 3, 43, 47, 575000)]",[73.85249927805056],,[202.40909504993482],,[77.11281928847589],[71.96167062973947],[7.383333333333326],[6],"['0.844657073,0.333261155,0.418845765']"
['3176543'],"['48.80997802046646,-121.81774889533277']",[7000],"[UTCDateTime(2021, 11, 24, 10, 58, 17)]",[-569.4896408090909],,[14.562558954408555],,[134.94910156957826],[244.0023939029038],[7.699999999999996],[4],"['0.343072026,3.998727454,0.180119944']"
['3179533'],"['46.857175605795106,-121.77968991796128']",[4000],"[UTCDateTime(2021, 12, 26, 8, 58, 51)]",[-0.38532440260377915],,[52.2967689173068],,[4.479605738894002],[15.250553136689323],[36.09166666666666],[6],"['0.243846704,1.255158413,0.179741383']"
